出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/08/06","115/7","8085","福華","其他電子業","52868","46546","50922","13.582262707858892","3.8215309689328776","373085","373332","-0.06616095057482348","-"
"115/08/06","115/7","8086","宏捷科","半導體業","418583","407747","353565","2.657530282258361","18.38926364317735","2939340","2099745","39.98556967631784","-"
"115/08/06","115/7","8109","博大","電子零組件業","211593","192667","145573","9.82316639590589","45.35181661434469","1235844","973851","26.902780815545704","-"
"115/08/06","115/7","8147","正淩","電子零組件業","188823","167493","126212","12.734860561336891","49.60780274458847","1171926","969365","20.896256827923434","-"
"115/08/06","115/7","8349","恒耀國際","鋼鐵工業","1004144","1066422","876145","-5.839902027527564","14.609339778233055","6890582","6507370","5.88889213307373","-"
"115/08/06","115/7","8409","商之器","生技醫療業","15026","13630","19444","10.242112986060162","-22.72166220942193","102382","76173","34.40720465256718","-"
"115/08/06","115/7","8415","大國鋼","鋼鐵工業","2666400","2632302","1949697","1.2953680846650575","36.75971189369425","16739811","13790403","21.38739527771596","-"
"115/08/06","115/7","8431","匯鑽科","其他電子業","81846","65270","100394","25.396047188601194","-18.47520768173397","549684","594512","-7.540301961945259","-"
"115/08/06","115/7","8432","東生華","生技醫療業","106976","96262","84521","11.130040929961979","26.567361957383373","723481","640935","12.878997090188554","-"
"115/08/06","115/7","8916","光隆","其他","902934","770018","867356","17.261414668228536","4.101891264947726","4624502","4966097","-6.8785406326134995","-"
"115/08/06","115/7","8942","森鉅","其他","290660","233210","300185","24.63444963766562","-3.1730432899711842","1634475","2811261","-41.85972060224931","-"
